UTM_Easting,UTM_Northing,X,Y,Five_ave_crime,PopulationDensity,PopulationFemale,Population65,NoHealthInsurance,X.Black,Neighbor_Disadvantage,X.Immigrants,Beer,MentalHealthPati,NatureParks,Casinos,DrinkingPlaces,ReligiousPlaces
4027387.445,4252365.539,-86.443581,32.472082,9630.977348,9630.25297,617.33,187.84,91.45,262.88,-1.179010033,24.7050137,14.775616,20.931701,292.662489,30.261611,57.408535,248.238273
3952385.333,4037626.235,-87.78623,31.112755,12127.45449,14435.29598,1584.13,674.76,282.13,293.94,-10.23890095,106.6284102,54.869272,42.753534,1042.41984,73.938665,253.330844,551.504975
4148310.139,4207575.323,-85.572544,31.800161,3733.313665,1191.26062,439.82,177.04,103.5,433.89,6.661801837,21.6205632,3.071859,2.082543,100.574743,8.029099,19.477491,79.804892
3947440.086,4287941.686,-87.009323,32.961403,694.934472,174.20999,186.9,65.22,48.14,68.97,0.646957724,5.2007791,3.707315,3.918411,64.384996,4.612135,8.481856,74.383827
3933260.648,4429473.258,-86.635686,34.032785,17900.50599,847.5534,454.95,159.76,101.41,13.17,-0.86432714,43.7661096,15.319032,9.150282,146.382532,6.928191,32.601154,176.595547
4109438.452,4229255.096,-85.825803,32.068123,1243.969332,56.738031,140.31,47.48,34.15,226.62,2.191278769,1.5613097,2.217519,3.636545,9.485423,7.685952,2.182031,11.530543
4039476.705,4178657.999,-86.588424,31.903303,5393.135835,1386.81512,377.16,135.17,54.58,283.23,0.988549625,5.8613816,2.251809,1.473267,77.227094,11.645698,7.205722,85.078359
4027449.037,4414872.043,-85.873202,33.64412,7037.221741,16342.04627,1465.66,494.58,299.22,770.97,11.429899,64.0251046,15.51005,19.069174,492.4931,21.677443,57.813031,517.584978
4134734.495,4348624.374,-85.197184,32.847257,1864.35224,2942.74245,417.81,156.69,79.97,298.94,0.222689098,16.4873902,8.091798,6.774277,116.242789,6.541104,47.730334,152.030403
4021515.539,4511534.268,-85.569484,34.355408,9405.260808,413.08889,304.8,135.78,52.55,30.09,-0.666967666,4.5155766,4.515066,1.125406,95.5124,2.804792,8.422992,78.362559
3983483.984,4276289.901,-86.738255,32.772464,11897.32062,946.39676,461.46,148,112.67,83.38,1.446970266,29.111751,4.552529,10.740872,190.272446,18.329716,16.188695,185.939119
3867057.73,4135404.575,-88.212506,32.066324,567.2027916,56.22487,207.97,89.74,40.9,173.57,1.364558966,2.1797932,1.937653,1.975303,23.771704,3.805488,4.632642,87.967473
3938251.51,4103331.722,-87.699686,31.634827,2386.285032,216.7897,264.51,96.37,49.14,214.48,2.597824515,0.9561265,4.513315,1.062881,68.386517,10.929374,6.643127,65.789374
4043873.069,4374509.744,-85.877103,33.304726,970.7035612,99.80688,206.35,84.81,43.25,56.78,1.038601473,9.0295793,1.914941,2.80583,30.421718,4.526394,5.023074,49.392424
4055789.085,4433616.113,-85.562208,33.692621,3972.08378,118.16607,203.22,76.91,49.9,10.78,0.015180432,6.4957451,2.291052,2.392701,55.154424,2.167271,7.962946,63.075942
4127486.341,4123133.988,-86.028552,31.253286,4877.245619,5484.84227,713.94,253.31,154.77,204.5,0.724189439,38.3077649,12.52581,4.130387,208.538208,13.483344,51.043974,265.824866
3801347.686,4473342.907,-87.63981,34.747097,4183.7537,11273.90568,730,279.1,106.67,244.55,-0.301513744,23.293565,25.853744,14.979812,255.105682,8.011158,43.115401,299.072496
4041672.044,4108154.772,-86.800952,31.38495,0,100.068435,253.87,108.71,64.32,225.3,2.561512327,4.72054,1.777162,1.806178,35.62867,19.304435,4.179556,26.902055
4012857.896,4319760.893,-86.335788,33.002011,5374.593084,63.16255,147.86,67.54,23.93,100.14,-0.550078397,1.4738317,1.766569,1.351728,22.266531,7.992463,4.495505,30.031679
4079963.243,4130331.513,-86.404756,31.438935,4919.450308,1995.495482,723.14,295.04,164.16,205.74,3.579442744,10.9064765,31.736483,7.439619,246.684698,19.151676,25.616374,295.157773
4084800.497,4172042.815,-86.226238,31.726809,1987.39526,137.17821,308.9,113.04,55.87,145.18,0.955247299,5.5571023,4.329227,2.498051,46.469102,8.637998,10.821092,96.718569
3903413.19,4438462.153,-86.864139,34.187442,21602.23794,3845.2412,910.46,331.7,195.92,23.48,-0.72478578,44.4243142,26.612414,14.950518,442.532563,10.642795,54.773954,319.058493
4158817.113,4162239.478,-85.636959,31.445272,6701.176611,3222.74381,716.63,249.94,158.31,281.66,1.098756863,49.4226354,12.410722,7.539016,237.915756,9.24704,47.443786,185.282117
3963561.742,4239856.207,-87.033485,32.564382,18651.25308,8242.41905,753.58,245.85,148.41,986.24,10.12923587,17.2837266,17.689634,19.241312,125.975793,17.779264,12.287772,242.224757
4009732.347,4520564.81,-85.637516,34.456554,17107.50916,1557.03998,705.45,237.73,195.39,22.16,1.367970722,99.0285063,11.858952,3.458172,142.868054,3.591489,20.494467,172.836754
4072167.475,4276472.14,-85.979538,32.516028,16346.71191,4324.49013,782.43,238.02,115.03,327.36,-3.410142689,31.6372184,19.233431,22.570369,311.196383,78.276718,62.455512,283.549782
4044731.59,4072258.363,-86.89051,31.115195,0,1153.2846,449.6,162.45,130.74,313.81,4.628414589,5.9305277,8.031614,4.267834,108.085918,68.208755,19.281529,131.98503
4000373.71,4453155.219,-85.967496,34.001389,17946.64451,25207.03183,1557.94,539.11,385.81,633.73,7.186268225,105.597612,28.668901,26.267921,550.333981,18.109277,69.59462,452.601139
3845701.64,4363393.311,-87.636713,33.808525,1211.796808,155.69392,256.04,103.72,39.53,49.59,0.497313659,4.0244526,2.639002,5.415894,89.195522,2.530762,8.133646,66.143272
3770097.494,4430161.794,-88.072658,34.521142,6906.967081,1167.0367,446.61,157.11,109.42,34.38,0.546664991,73.2807607,4.392688,2.635622,150.341131,3.789201,12.927502,166.537939
4129162.002,4100889.211,-86.08719,31.088301,5903.889341,321.47992,306.08,118.68,74.36,52.42,0.129409492,10.280804,8.622159,2.755372,123.442997,3.814953,13.231575,91.878218
3866988.349,4219493.852,-87.938855,32.688042,5131.126071,39.829007,159.93,60.33,38.18,241.74,3.054224371,0.7279526,1.474541,1.94741,20.222651,7.086555,3.230666,27.085256
3882798.51,4249481.965,-87.701022,32.864468,1108.2525,143.30454,311.03,111.13,48.58,338.77,2.538797613,1.0244735,7.161972,5.640476,92.206217,6.142488,12.241607,77.017968
4192342.357,4192668.417,-85.255158,31.566294,3130.928164,257.73823,311.41,138.26,58.26,164.56,0.411673471,4.7721975,6.687084,2.114989,98.633554,3.084948,12.304036,68.702542
4192178.847,4144088.755,-85.419304,31.220099,15287.81796,21872.54069,1145.21,390.36,245.72,732.31,5.882602741,48.5298727,47.764159,10.627359,478.144108,15.728671,76.759913,432.043858
3932699.674,4544503.116,-86.218177,34.867007,0,1474.538435,563.01,218.9,107.49,35.35,-0.18065087,15.9293021,10.622809,3.296346,208.224704,3.102732,18.356621,101.810785
3936446.917,4359177.352,-86.857717,33.512429,83830.07214,321253.1794,8596.2,2588.88,1696.67,8056.1,37.49500613,633.3083384,259.868544,217.595478,3718.181625,202.646627,816.086365,2848.946841
3794230.831,4361843.191,-88.096943,33.946116,1173.339045,69.30521,153.01,65.4,31.76,31.88,1.080927897,2.3351433,2.282515,0.739639,23.952458,2.723284,5.403026,44.379782
3793377.018,4481385.237,-87.681804,34.829955,2398.506,20063.76042,1145.56,400.52,225.61,306.42,-0.79121436,49.3533122,39.675399,24.780655,427.333698,9.039706,68.681155,595.445705
3831353.612,4461063.768,-87.41755,34.567622,10873.34467,607.20763,470.26,162.32,79.07,126.67,0.669066182,8.1846453,9.271752,6.535432,176.72081,2.934734,13.761507,146.159756
4115173.886,4305252.063,-85.515268,32.596024,24875.77059,37331.06115,1363.15,299.11,209.83,664.42,0.856841726,144.3633859,31.270406,38.669621,1204.541359,31.59167,225.974308,523.324276
3862907.619,4503827.353,-86.982912,34.78542,11965.82133,7662.28827,810.73,260.35,161.48,225.19,0.027584939,58.3811608,22.321563,19.755913,213.297081,6.00296,49.240463,263.174841
4008934.492,4217294.705,-86.719898,32.270648,5805.910527,47.92676,154.77,54.7,25.73,214.22,2.495226334,2.1345983,1.899027,1.988082,27.162395,7.27251,5.055435,27.848673
4118505.317,4265612.383,-85.624798,32.302491,6752.07702,4161.116129,642.03,251.46,97.31,1031.34,7.697141303,7.657191,7.117618,5.755696,111.451681,59.442409,13.746303,92.291983
3881949.232,4535880.167,-86.69641,34.960651,50512.33536,115965.0386,3756.73,1159.34,694.19,2099.12,4.905173416,424.4551142,110.253721,87.586884,2125.90642,28.291017,368.090572,1105.507491
3893544.675,4147113.232,-87.94483,32.08018,6646.700766,216.729892,305.39,118.25,49.92,322.54,1.488776828,1.5876062,3.191158,8.56098,94.181577,10.009285,10.984068,87.565671
3797058.863,4396887.858,-87.949791,34.196722,3399.306459,343.59282,352.79,144.88,64.61,22.64,1.546879044,7.9799595,10.123235,6.570586,83.199269,5.20866,11.904366,134.656879
3961165.341,4475287.395,-86.226351,34.280137,9379.398769,5606.648,916.04,306.17,221.49,50.16,-0.353104239,123.323981,10.842391,13.15823,384.164296,7.569914,84.068985,287.190877
3935693.337,3968041.487,-88.143755,30.643455,58100.62935,201353.3882,5634.66,1747.99,1296.07,4716.54,25.72879216,311.7851584,117.921643,83.48879,1959.402485,213.455229,422.10841,1663.834295
3963765.01,4124069.453,-87.413893,31.716986,4064.816498,192.413689,361.04,136.2,86.18,344.71,6.896361096,2.6571924,3.60701,3.987064,89.934813,39.556597,7.761821,77.552514
