utmx,utmy,X,Y,Rate_per_100000,PopulationDensity,PopulationFemale,Beer,NoHealthInsurance,DrinkingPlaces,Cases,Neighbor_Disadvantage
4027387.445,4252365.539,-86.443581,32.472082,222.5,9630.25297,617.33,14.775616,91.45,57.408535,104,-1.17901
3952385.333,4037626.235,-87.78623,31.112755,172.7,14435.29598,1584.13,54.869272,282.13,253.330844,328,-10.238901
4148310.139,4207575.323,-85.572544,31.800161,499,1191.26062,439.82,3.071859,103.5,19.477491,105,6.661802
3947440.086,4287941.686,-87.009323,32.961403,204.1,174.20999,186.9,3.707315,48.14,8.481856,39,0.646958
3933260.648,4429473.258,-86.635686,34.032785,72.3,847.5534,454.95,15.319032,101.41,32.601154,35,-0.864327
4109438.452,4229255.096,-85.825803,32.068123,570.5,56.738031,140.31,2.217519,34.15,2.182031,49,2.191279
4039476.705,4178657.999,-86.588424,31.903303,395.2,1386.81512,377.16,2.251809,54.58,7.205722,65,0.98855
4027449.037,4414872.043,-85.873202,33.64412,274.8,16342.04627,1465.66,15.51005,299.22,57.813031,266,11.429899
4134734.495,4348624.374,-85.197184,32.847257,407.1,2942.74245,417.81,8.091798,79.97,47.730334,115,0.222689
4021515.539,4511534.268,-85.569484,34.355408,122.7,413.08889,304.8,4.515066,52.55,8.422992,28,-0.666968
3983483.984,4276289.901,-86.738255,32.772464,138.5,946.39676,461.46,4.552529,112.67,16.188695,51,1.44697
3867057.73,4135404.575,-88.212506,32.066324,230.4,56.22487,207.97,1.937653,40.9,4.632642,25,1.364559
3938251.51,4103331.722,-87.699686,31.634827,188.9,216.7897,264.51,4.513315,49.14,6.643127,38,2.597825
4043873.069,4374509.744,-85.877103,33.304726,176.5,99.80688,206.35,1.914941,43.25,5.023074,20,1.038601
4055789.085,4433616.113,-85.562208,33.692621,103.6,118.16607,203.22,2.291052,49.9,7.962946,13,0.01518
4127486.341,4123133.988,-86.028552,31.253286,175.8,5484.84227,713.94,12.52581,154.77,51.043974,77,0.724189
3801347.686,4473342.907,-87.63981,34.747097,119.4,11273.90568,730,25.853744,106.67,43.115401,56,-0.301514
4041672.044,4108154.772,-86.800952,31.38495,272.5,100.068435,253.87,1.777162,64.32,4.179556,28,2.561512
4012857.896,4319760.893,-86.335788,33.002011,190.7,63.16255,147.86,1.766569,23.93,4.495505,18,-0.550078
4079963.243,4130331.513,-86.404756,31.438935,153.6,1995.495482,723.14,31.736483,164.16,25.616374,48,3.579443
4084800.497,4172042.815,-86.226238,31.726809,172.3,137.17821,308.9,4.329227,55.87,10.821092,20,0.955247
3903413.19,4438462.153,-86.864139,34.187442,92.6,3845.2412,910.46,26.612414,195.92,54.773954,65,-0.724786
4158817.113,4162239.478,-85.636959,31.445272,326.6,3222.74381,716.63,12.410722,158.31,47.443786,134,1.098757
3963561.742,4239856.207,-87.033485,32.564382,453.9,8242.41905,753.58,17.689634,148.41,12.287772,141,10.129236
4009732.347,4520564.81,-85.637516,34.456554,102.6,1557.03998,705.45,11.858952,195.39,20.494467,61,1.367971
4072167.475,4276472.14,-85.979538,32.516028,269.2,4324.49013,782.43,19.233431,115.03,62.455512,185,-3.410143
4044731.59,4072258.363,-86.89051,31.115195,264.3,1153.2846,449.6,8.031614,130.74,19.281529,81,4.628415
4000373.71,4453155.219,-85.967496,34.001389,217.5,25207.03183,1557.94,28.668901,385.81,69.59462,189,7.186268
3845701.64,4363393.311,-87.636713,33.808525,101.2,155.69392,256.04,2.639002,39.53,8.133646,14,0.497314
3770097.494,4430161.794,-88.072658,34.521142,81,1167.0367,446.61,4.392688,109.42,12.927502,21,0.546665
4129162.002,4100889.211,-86.08719,31.088301,175.1,321.47992,306.08,8.622159,74.36,13.231575,39,0.129409
3866988.349,4219493.852,-87.938855,32.688042,437.5,39.829007,159.93,1.474541,38.18,3.230666,30,3.054224
3882798.51,4249481.965,-87.701022,32.864468,499.6,143.30454,311.03,7.161972,48.58,12.241607,61,2.538798
4192342.357,4192668.417,-85.255158,31.566294,258.4,257.73823,311.41,6.687084,58.26,12.304036,38,0.411673
4192178.847,4144088.755,-85.419304,31.220099,397.3,21872.54069,1145.21,47.764159,245.72,76.759913,353,5.882603
3932699.674,4544503.116,-86.218177,34.867007,88.2,1474.538435,563.01,10.622809,107.49,18.356621,39,-0.180651
