x_coor,y_coor,price,bedrooms,bathrooms,sqft_lot,grade,sqft_living15,sqft_lot15
-122.257,47.5112,221900,3,1,5650,7,1340,5650
-122.319,47.721,538000,3,2.25,7242,7,1690,7639
-122.233,47.7379,180000,2,1,10000,6,2720,8062
-122.393,47.5208,604000,4,3,5000,7,1360,5000
-122.045,47.6168,510000,3,2,8080,8,1800,7503
-122.005,47.6561,1230000,4,4.5,101930,11,4760,101930
-122.327,47.3097,257500,3,2.25,6819,7,2238,6819
-122.315,47.4095,291850,3,1.5,9711,7,1650,9711
-122.337,47.5123,229500,3,1,7470,7,1780,8113
-122.031,47.3684,323000,3,2.5,6560,7,2390,7570
-122.145,47.6007,662500,3,2.5,9796,8,2210,8925
-122.292,47.69,468000,2,1,6000,7,1330,6000
-122.229,47.7558,310000,3,1,19901,7,1780,12697
-122.045,47.6127,400000,3,1.75,9680,7,1370,10208
-122.394,47.67,530000,5,2,4850,7,1360,4850
-122.375,47.5714,650000,4,3,5000,9,2140,4000
-121.962,47.7277,395000,3,2,14040,7,1890,14018
-122.343,47.6648,485000,4,1,4300,7,1610,4300
-122.21,47.3089,189000,2,1,9850,7,1060,5095
-122.306,47.3343,230000,3,1,9774,7,1280,8850
-122.341,47.7025,385000,4,1.75,4980,7,1400,4980
-122.233,47.5316,2000000,3,2.75,44867,9,4110,20336
-122.169,47.3266,285000,5,2.5,6300,8,2240,7005
-122.166,47.3533,252700,2,1.5,9643,7,1220,8386
-122.172,47.3739,329000,3,2.25,6500,8,2200,6865
-122.218,47.3048,233000,3,2,4697,6,1030,4705
-122.36,47.6386,937000,3,1.75,2691,8,1760,3573
-122.314,47.6221,667000,3,1,1581,8,1860,3861
-122.304,47.695,438000,3,1.75,6380,7,1520,6235
-122.11,47.7073,719000,4,2.5,7173,8,2630,6026
-122.07,47.5391,580500,3,2.5,3980,8,2580,3980
-122.357,47.7274,280000,2,1.5,1265,7,1390,1756
-122.368,47.6823,687500,4,1.75,5000,7,1460,5000
-122.375,47.6889,535000,3,1,3000,8,1570,5080
-122.157,47.4276,322500,4,2.75,6659,7,2020,8720
-122.31,47.6827,696000,3,2.5,3060,8,1590,3264
-122.132,47.6621,550000,4,1,34848,5,2160,11467
-122.362,47.6702,640000,4,2,6000,8,1730,4700
-122.282,47.3341,240000,4,1,8075,7,1290,7800
-122.18,47.5301,605000,4,2.5,7553,8,2620,11884
-122.027,47.6145,625000,4,2.5,5520,9,2470,5669
-122.347,47.445,775000,4,2.25,24186,8,2410,30617
-122.016,47.6848,861990,5,2.75,5639,9,3625,5639
-122.364,47.6413,685000,3,1,2280,7,1580,2640
-122.175,47.4485,309000,3,1,9656,6,1340,8808
-121.977,47.7443,488000,3,2.5,13603,8,3050,9232
-122.371,47.3066,210490,3,1,8528,6,1228,8840
-122.151,47.6194,785000,4,2.5,13416,9,2680,13685
-122.301,47.6796,450000,3,1.75,5963,7,970,5100
-122.451,47.4041,1350000,3,2.5,65005,9,2680,72513
-122.322,47.4258,228000,3,1,9199,7,1190,9364
-122.189,47.4934,345000,5,2.5,9134,8,1990,9133
-122.384,47.6808,600000,3,1.75,4080,7,1410,4080
-122.369,47.6989,585000,2,1.75,8550,7,1480,6738
-122.281,47.6571,920000,5,2.25,6000,8,2730,6000
-122.29,47.6597,885000,4,2.5,5000,9,1950,5000
-122.114,47.3663,292500,4,2.5,4495,7,2250,4500
-122.122,47.3663,301000,3,2.5,4750,8,2690,4750
-122.116,47.588,951000,5,3.25,14342,8,2960,11044
-122.149,47.5059,430000,4,3,9976,8,2270,8542
-122.339,47.4336,650000,3,2.25,21235,8,2570,18900
-122.335,47.4366,289000,3,1.75,8400,7,1290,8750
-122.344,47.4428,505000,3,1.75,8690,8,2500,9500
-122.32,47.6765,549000,3,1.75,1044,8,1580,3090
-122.297,47.6113,425000,3,2.25,6000,7,1440,4080
-122.304,47.5747,317625,3,2.75,3809,7,1440,4000
-122.192,47.5815,975000,4,2.5,11049,10,2750,11049
-122.257,47.3378,287000,4,2.5,4648,7,2221,4557
-122.11,47.3621,204000,3,1,12070,7,1010,12635
-122.215,47.6303,1330000,5,2.25,20158,8,3390,20158
-122.16,47.6525,1040000,5,3.25,50094,11,3530,38917
-122.179,47.7362,325000,3,2,5612,7,1640,4745
-122.287,47.7168,571000,4,2,7807,7,1510,7807
-122.036,47.3608,360000,4,2.5,5000,8,2420,5000
-122.073,47.3511,349000,3,1.75,50529,7,1940,50529
-121.987,47.5822,832500,4,4,35102,10,3240,35020
-122.125,47.6034,380000,4,1.75,7300,7,1680,7500
-122.394,47.5636,480000,3,1,5060,7,890,5060
-122.34,47.7073,410000,3,1,5060,7,1130,5693
-122.025,47.342,720000,4,2.5,39683,10,3350,39750
-122.008,47.3512,390000,3,2.5,5100,8,2350,5363
-122.031,47.349,360000,4,2.5,5889,7,1870,6405
-122.291,47.5474,355000,2,1,6720,7,1720,6720
-122.149,47.4811,356000,3,1.5,8712,8,1850,8797
-122.31,47.7264,315000,3,1,6634,6,1570,7203
-122.365,47.6337,940000,3,1.5,3600,9,2020,4800
-122.189,47.2909,305000,5,2.25,8400,7,1590,8165
-122.199,47.5228,461000,3,3.25,6278,9,1900,7349
-122.194,47.518,215000,2,2.25,2040,7,1950,2025
-122.387,47.5394,335000,2,1.75,1066,7,1030,1106
-122.372,47.2897,243500,4,2.5,7403,7,1980,7510
-122.391,47.6506,1100000,5,2.75,6353,10,2520,6250
-122.351,47.322,153000,3,1,10500,7,1350,10500
-122.386,47.687,430000,3,1.5,5000,8,1570,4500
-122.386,47.687,700000,3,1.5,5000,8,1570,4500
-122.249,47.5873,905000,4,2.5,10250,7,1950,6045
-122.277,47.3576,247500,3,1.75,15681,7,1750,15616
-122.378,47.3036,199000,4,1.5,6400,7,1160,6400
-121.958,47.4109,314000,3,1.75,41800,7,1650,135036
-121.714,47.4838,437500,3,2.5,36847,9,2550,35065
-122.315,47.6415,850830,3,2.5,13241,9,2200,4500
-122.372,47.6775,555000,3,2,3478,7,1610,3478
-122.08,47.7731,699950,3,2.25,107593,8,2570,47777
-122.196,47.5814,1090000,3,2.5,8113,8,2370,8113
-122.184,47.4375,290000,3,1,33919,7,1640,14910
-122.133,47.4431,375000,3,2.5,10005,8,2250,8162
-122.38,47.6878,460000,3,1,4005,7,1240,4005
-122.322,47.3813,188500,2,1.75,2493,8,1270,4966
-122.082,47.7304,680000,4,2.5,28037,10,2990,35001
-122.109,47.6417,470000,5,1.75,12342,7,2500,9433
-122.053,47.5386,597750,4,2.5,9624,8,1940,9636
-122.349,47.6823,570000,3,1.75,3328,6,1380,3536
-122.031,47.3624,272500,3,1.75,12600,7,1540,11656
